porosity,widths,initial conditions,directions,max distance,projected distances,filled bottom,number filled,number blocked,total filled
0.0,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.941125496953575,"[24.0, 24.0, 33.941125496953575]",1.0,625.0,0.0,625.0
0.01,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.93412964475592,"[24.0, 24.0, 33.93405442914172]",0.99,612.9,6.34,619.24
0.02,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.92923254821756,"[24.0, 24.0, 33.92910468167342]",0.983,601.042,12.434,613.476
0.03,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.92013794036062,"[24.0, 24.0, 33.919912293518]",0.97,589.376,18.557,607.933
0.04,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.90754540640484,"[24.0, 24.0, 33.90718437145668]",0.952,578.31,25.039,603.349
0.05,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.91174291772344,"[24.0, 24.0, 33.911427012143776]",0.958,566.219,31.149,597.368
0.06,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.85754519312286,"[23.976, 23.976, 33.85697978999244]",0.93,553.832,37.394,591.226
0.07,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.890071462045505,"[24.0, 24.0, 33.88950670192702]",0.928,541.475,43.913,585.388
0.08,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.8865578498119,"[24.0, 24.0, 33.885971168021086]",0.922,531.893,49.632,581.525
0.09,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.884490466422164,"[24.0, 24.0, 33.88384984767753]",0.921,518.717,56.14,574.857
0.1,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.830229997282466,"[23.976, 23.976, 33.82940262552619]",0.889,506.689,62.337,569.026
0.11,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.76939065689054,"[23.928, 23.928, 33.768591442344125]",0.9,492.083,69.05,561.133
0.12,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.74600006846919,"[23.931, 23.929, 33.74454981178383]",0.864,480.323,75.331,555.654
0.13,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.800988593265316,"[23.976, 23.976, 33.79970414071638]",0.856,471.707,80.736,552.443
0.14,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.744091147184925,"[23.93, 23.929, 33.74242849144025]",0.86,458.158,87.443,545.601
0.15,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.628859607460825,"[23.858, 23.859, 33.627170086106894]",0.839,445.531,93.378,538.909
0.16,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.61598721361942,"[23.863, 23.86, 33.61302795048316]",0.825,433.501,99.86,533.361
0.17,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.60527897292305,"[23.833, 23.837, 33.603128455546525]",0.855,419.836,106.312,526.148
0.18,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.62816991076301,"[23.883, 23.885, 33.62504876576336]",0.798,407.888,112.357,520.245
0.19,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.312953902271545,"[23.648, 23.652, 33.31038624813532]",0.818,391.892,118.422,510.314
0.2,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.0973431755907,"[23.529, 23.528, 33.09259735952988]",0.754,376.154,125.335,501.489
0.21,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",33.142539299858306,"[23.554, 23.552, 33.13785219352582]",0.767,366.315,131.427,497.742
0.22,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",32.90158555625877,"[23.388, 23.392, 32.89602167436007]",0.746,351.931,137.368,489.299
0.23,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",32.8251420960598,"[23.341, 23.343, 32.818239928429556]",0.736,334.777,144.114,478.891
0.24,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",32.66293077196733,"[23.255, 23.255, 32.655605368756675]",0.715,324.933,150.274,475.207
0.25,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",32.31294219191481,"[22.999, 22.993, 32.30488040528814]",0.699,307.088,156.267,463.355
0.26,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",32.471793551469155,"[23.104, 23.11, 32.461858110711546]",0.713,295.623,162.404,458.027
0.27,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",32.37968687207833,"[23.076, 23.063, 32.36993422915731]",0.673,285.361,169.087,454.448
0.28,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",31.80373921921566,"[22.673, 22.691, 31.790106668584354]",0.644,270.434,174.785,445.219
0.29,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",31.446113906820887,"[22.45, 22.455, 31.425239569492128]",0.615,253.783,181.749,435.532
0.3,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",31.702777897608012,"[22.634, 22.615, 31.686161971749943]",0.625,244.527,187.142,431.669
0.31,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",30.770763517913007,"[22.028, 22.001, 30.745709952771925]",0.539,222.958,193.658,416.616
0.32,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",30.704285737103195,"[21.968, 21.961, 30.673585061090865]",0.547,214.332,199.59,413.922
0.33,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",30.088892768051434,"[21.545, 21.532, 30.04920977330319]",0.525,199.089,205.914,405.003
0.34,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",29.014189815753472,"[20.825, 20.817, 28.961679543838336]",0.436,180.82,212.639,393.459
0.35,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",27.86080781399713,"[19.968, 19.997, 27.80061020913005]",0.44,162.563,218.554,381.117
0.36,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",27.839336568699213,"[20.017, 19.957, 27.761719336164806]",0.417,153.732,225.253,378.985
0.37,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",26.863886753686923,"[19.261, 19.317, 26.77106273572248]",0.371,137.045,231.951,368.996
0.38,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",25.587912533913588,"[18.424, 18.443, 25.476350219369962]",0.307,124.94,237.937,362.877
0.39,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",25.210956734409727,"[18.149, 18.133, 25.098048091435167]",0.281,115.603,243.238,358.841
0.4,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",24.03655364514678,"[17.251, 17.291, 23.900916310886366]",0.265,101.652,249.61,351.262
0.41,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",22.33932259432987,"[16.131, 16.089, 22.187596580071403]",0.215,91.871,256.069,347.94
0.42,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",20.229413982220436,"[14.739, 14.407, 20.033042217796048]",0.161,77.514,262.27,339.784
0.43,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",19.47142896323667,"[14.03, 14.047, 19.266538466989836]",0.14,68.905,268.047,336.952
0.44,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",17.791322749613762,"[12.787, 12.809, 17.583624327765897]",0.115,58.47,275.481,333.951
0.45,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",16.162108584730223,"[11.602, 11.71, 15.936065527601237]",0.092,51.486,281.146,332.632
0.46,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",15.659509399983191,"[11.234, 11.29, 15.401492801024212]",0.064,45.686,287.755,333.441
0.47,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",14.468249458899496,"[10.395, 10.398, 14.234766612066402]",0.059,41.25,293.407,334.657
0.48,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",12.549992384397306,"[9.065, 8.985, 12.28598032311626]",0.03,33.152,300.359,333.511
0.49,"(25, 25)","[[1, 1]]","[[0, 1], [1, 0], [1, 1]]",11.394172301600838,"[8.155, 8.246, 11.136224696906963]",0.029,28.713,306.01,334.723
